32,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,32
33,100,101,102,100,101,102,100,101,102,100,101,102,102,100,101,102,100,100,101,102,100,101,100,31
33,115,116,117,100,101,102,100,101,102,100,101,102,117,115,116,117,115,115,116,117,102,191,102,31
33,100,101,102,115,188,117,100,101,102,115,116,117,116,117,117,115,116,117,101,102,102,117,117,31
33,115,116,117,100,101,102,100,101,200,100,100,115,115,188,116,115,116,117,102,102,100,101,102,31
33,100,101,102,115,116,117,100,101,100,115,115,115,116,188,101,102,116,117,102,117,100,101,102,31
48,115,116,188,115,116,117,100,101,115,115,116,117,102,188,116,117,200,100,101,102,102,102,117,31
140,100,101,102,115,115,116,100,101,115,116,117,101,102,188,101,102,200,100,76,77,78,100,101,31
140,115,190,117,115,116,117,100,101,115,116,200,102,102,188,116,117,200,100,91,155,93,115,116,31
18,100,101,102,115,116,117,100,188,115,116,117,117,100,188,102,100,200,101,106,107,108,116,117,31
33,115,116,117,115,116,117,100,101,102,115,116,117,115,188,117,100,200,102,102,102,115,116,117,31
33,100,101,102,115,116,117,100,101,100,115,115,116,117,188,116,100,101,102,117,102,115,116,117,31
33,115,188,117,115,116,117,100,100,115,115,100,101,102,188,115,100,101,102,117,117,115,116,117,31
33,100,101,102,115,116,117,100,200,115,116,115,116,117,101,102,100,100,101,100,101,102,116,117,31
33,100,101,102,191,116,117,115,115,116,100,101,100,101,102,117,115,100,100,115,116,117,191,117,31
33,100,101,102,100,101,100,101,102,100,101,102,100,101,102,190,101,115,100,100,100,115,116,117,31
33,115,116,117,115,116,115,116,117,115,116,117,115,116,117,115,116,117,115,115,115,115,116,117,31
32,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,32
