16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18
31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33
46,32,48,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,46,32,33
16,32,33,55,56,98,98,188,100,101,102,98,98,98,98,98,99,100,101,102,96,97,31,32,33
31,32,33,70,71,113,113,114,115,116,117,113,113,113,113,98,99,100,101,102,96,97,31,32,33
46,32,33,98,113,113,114,115,116,190,113,114,115,200,117,98,98,99,100,191,102,97,31,32,33
16,32,33,113,113,114,115,116,117,96,113,114,115,116,117,113,188,99,100,101,102,97,31,32,33
31,32,33,113,114,115,188,117,96,96,96,113,114,115,116,117,98,99,100,101,102,97,47,47,47
46,32,33,113,114,115,116,117,111,111,111,113,200,115,116,117,98,99,100,101,102,97,163,98,155
16,32,33,113,200,115,116,117,111,112,97,113,114,115,116,117,98,99,100,188,102,97,178,98,155
31,32,33,113,114,115,190,117,111,112,112,113,188,115,116,117,98,99,100,101,102,97,17,17,17
46,32,33,113,114,115,116,117,111,98,98,113,114,115,116,117,98,99,100,101,102,97,31,32,33
16,32,33,113,114,115,116,117,98,113,113,113,114,115,116,117,200,99,100,101,190,97,31,32,33
31,32,33,113,114,115,116,117,188,102,102,200,100,101,102,102,102,102,100,101,102,97,31,32,33
46,32,33,113,188,115,116,117,117,117,117,117,102,102,102,117,117,117,100,101,102,97,31,32,33
16,32,33,113,114,115,116,191,114,115,116,117,117,117,188,115,116,117,100,101,102,97,31,32,33
31,32,33,113,113,114,115,113,98,98,113,113,114,115,116,117,102,102,102,117,102,102,31,32,33
46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48
