32,32,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,32
32,48,56,99,100,101,102,98,99,100,101,102,102,102,102,87,87,87,87,87,84,85,86,33,87,87,87,87,87,98,99,100,101,102,31
33,70,71,99,100,101,191,99,100,101,102,200,117,117,117,102,102,102,102,102,102,200,87,33,102,102,102,102,102,98,99,100,190,102,31
33,98,98,98,99,100,98,99,100,101,102,117,115,116,117,117,200,117,117,117,117,117,102,33,117,117,117,16,17,18,99,100,101,102,31
33,113,113,98,99,16,17,18,100,101,102,117,86,87,87,113,114,113,114,115,116,117,117,33,113,113,114,31,32,33,99,100,101,102,31
33,113,98,99,100,31,32,33,100,101,102,87,87,102,102,102,117,98,113,114,115,116,117,33,113,114,115,46,47,48,100,101,102,102,31
33,113,98,99,100,46,47,48,98,98,99,200,101,102,117,16,17,18,113,114,115,116,116,33,114,115,116,98,99,100,101,102,102,117,31
33,98,99,100,101,102,113,113,113,98,98,98,98,98,98,31,32,33,102,102,116,117,113,33,114,115,116,113,114,115,116,117,117,102,31
33,113,200,115,116,117,102,117,117,16,17,18,98,99,100,46,47,48,102,117,116,117,113,33,115,116,98,98,113,98,99,100,101,102,31
33,98,99,100,200,102,117,116,117,31,32,33,99,100,101,102,102,117,117,115,116,117,114,33,116,117,113,113,113,113,114,115,116,117,31
33,98,98,99,100,101,102,100,86,31,32,33,101,102,102,102,117,114,115,116,117,200,117,33,117,200,113,114,115,116,117,101,102,102,31
33,113,98,98,99,100,101,200,99,31,32,33,102,102,117,117,114,115,116,117,83,113,114,33,116,117,113,114,115,116,117,102,200,117,31
33,98,99,100,101,102,98,98,99,31,32,33,117,117,113,114,115,116,117,83,98,113,114,33,116,117,113,114,115,116,117,102,117,117,31
33,113,114,33,116,117,113,98,98,31,32,33,101,102,116,117,83,98,98,98,113,113,114,33,116,98,113,114,115,200,117,117,116,117,31
33,113,114,33,116,117,84,113,113,31,32,33,99,100,101,102,200,113,113,113,113,114,115,33,98,98,113,114,115,116,117,115,116,117,31
33,113,114,33,116,117,102,83,83,31,32,33,98,98,98,99,98,99,100,101,102,16,17,18,98,113,113,114,115,116,117,115,116,117,31
33,113,114,33,116,117,117,98,102,31,32,33,113,113,98,98,113,114,115,116,117,31,32,33,113,113,114,115,116,117,114,115,116,117,31
33,98,113,33,115,116,200,113,98,31,32,33,98,98,200,98,98,98,99,100,101,46,47,48,113,113,98,99,100,113,114,115,116,117,31
33,47,47,48,116,116,117,98,113,31,32,33,113,113,113,113,113,98,98,98,99,100,113,114,115,116,98,98,99,200,114,115,116,117,31
155,200,200,163,116,117,117,113,113,31,32,33,117,101,102,102,102,113,113,98,98,99,113,114,115,116,113,98,98,113,114,115,116,117,31
155,200,200,178,116,117,117,115,116,31,32,33,102,102,102,117,117,200,117,113,98,99,100,101,102,200,114,113,98,113,114,115,116,117,31
33,17,17,18,100,116,117,99,100,31,32,33,102,102,102,102,102,102,102,102,102,200,102,102,102,113,114,115,113,113,114,115,116,117,31
32,32,32,33,115,116,117,102,102,31,32,33,117,117,117,117,117,117,117,117,117,117,117,117,102,113,114,115,116,117,117,102,191,102,31
32,32,32,33,116,117,117,117,117,31,32,33,113,113,113,113,113,113,113,113,114,115,116,117,117,117,113,114,115,116,117,117,117,117,31
32,32,32,33,17,17,17,17,17,17,32,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,32
